MRN,Division,Line Code,Station Name,Boro,ADA Access (YES/NO/Partial),Description of ADA Access ,1 Control Area (YES/NO),1 Control Area per Platform (NB/SB/BOTH),Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Total Closed Street Stairs ,Other Stairs, Plat Stairs Closed (#),Passageway/Underpass/Overpass Closed,Easement Closed,Street Stair and Control Area Closures,Notes ,,,,
1,BMT,AST,Ditmars Blvd,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,Data Validation ,
2,BMT,AST,Astoria Blvd-Hoyt Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,
3,BMT,AST,30 Av-Grand Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,Yes,NB
4,BMT,AST,Broadway,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,No,SB
5,BMT,AST,36 Av-Washington Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,BOTH
6,BMT,AST,39 Av-Beebe Av,Q,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landings in mezzanine,,,,
7,BMT,BWY,Lexington Av,M,,,,,,,,,,0,,,,,0,,,,,
8,BMT,BWY,5th Av,M,,,,,,,,,,0,,,,,0,,,,,
9,BMT,BWY,57th St,M,,,,,,,,,,0,,,,,0,,,,,
10,BMT,BWY,49th St,M,Partial,Uptown ,,,,,1,,,1,,,,2,1,abandoned easements - n/b at 47th St and 49th St (49 St easement  replaced with larger easement),,,,
11,BMT,BWY,Times Square-42nd St,M,,,,,,,,,,0,,,,,0,REF:MRN 467,,,,
12,BMT,BWY,34th St,M,Yes,,,,,,,1,,1,,,,1,1,slabbed over street stair - 6 Av side of SE corner of 6 Ave and 34 St,,,,
13,BMT,BWY,28th St,M,No ,,,BOTH,2,4,,,,4,,,,,6,"both platforms have closed control areas at 29 St, 2 street stairs closed per control area",,,,
