MRN,Division,Line Code,Station Name,Boro,Route,ADA Accessible,Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Stairs Closed in Open CA,Total Closed Street Stairs ,
335,IRT,CLK,Borough Hall,BK,2-3,Yes,,,1,,,1,1,
336,IRT,EPK,Hoyt St,BK,2-3,No,1,1,,,,0,1,
339,IRT,EPK,Bergen St,BK,2-3,No,,,1,,,1,1,
341,IRT,EPK,Eastern Parkway-Brooklyn Museum,BK,2-3,No,1,2,,,,0,2,
356,IRT,NOS,Church Av,BK,2-5,Yes,,,1,,,1,1,
349,IRT,NLT,Junius St,BK,3,No,1,2,,,,0,2,
415,IRT,LEX,Borough Hall,BK,4-5,Partial,,,1,1,,2,2,
173,IND,8AV,High St,BK,A-C,No,,,1,,,1,1,
174,IND,FUL,Jay St - MetroTech,BK,A-C-F,Yes,,,2,,,2,2,
175,IND,FUL,Hoyt Schermerhorn,BK,A-C,No,2,5,3,,,3,8,
179,IND,FUL,Nostrand Av,BK,A-C,No,2,4,,,,0,4,
41,BMT,BRT,7th Av,BK,B-Q,No ,1,2,,,,0,2,
44,BMT,BRT,Church Av,BK,B-Q,Yes,1,1,,,,0,1,
52,BMT,BRT,Av U,BK,B-Q,No ,1,1,,,,0,1,
178,IND,FUL,Franklin Av,BK,C,Yes,2,2,,,,0,2,
182,IND,FUL,Ralph Av,BK,C,No,1,2,1,,,1,3,
183,IND,FUL,Rockaway Av,BK,C,No,,,2,,,2,2,
27,BMT,4AV,Atlantic Av-Barclays Ctr,BK,D-N-R,Yes,,,2,,,2,2,
236,IND,CUL,Bergen St,BK,F-G,No,,,1,,,1,1,
237,IND,CUL,Carroll St,BK,F-G,No,,,2,,,2,2,
242,IND,6AV,Fort Hamilton Parkway,BK,F,No,,,2,,,2,2,
285,IND,BCT,Metropolitan Av,BK,G,No,1,4,2,,,2,6,
286,IND,BCT,Broadway,BK,G,No,2,6,,,,0,6,
287,IND,BCT,Flushing Av,BK,G,No,1,2,,,,0,2,
288,IND,BCT,Myrtle-Willoughby Avs,BK,G,No,2,2,,,,0,2,
289,IND,BCT,Bedford-Nostrand Avs,BK,G,No,,,4,,,4,4,
292,IND,BCT,Fulton St,BK,G,No,1,2,,,,0,2,
86,BMT,BWJ,Cypress Hills,BK,J-Z,No,,,1,,,1,1,
92,BMT,BWJ,Broadway Junction,BK,J-Z,No,1,2,,,,0,2,
93,BMT,BWJ,Chauncey St,BK,J-Z,No,1,2,,,,0,2,
94,BMT,BWJ,Halsey St,BK,J-Z,No,1,2,,,,0,2,
95,BMT,BWJ,Gates Av,BK,J-Z,No,1,2,,,,0,2,
96,BMT,BWJ,Kosciusko St,BK,J-Z,No,1,2,,,,0,2,
98,BMT,BWJ,Flushing Av,BK,J-Z,Yes,1,2,,,,0,2,
100,BMT,BWJ,Hewes St,BK,J-Z,No,1,2,,,,0,2,
125,BMT,CNR,Morgan Av,BK,L,No,,,1,,,1,1,
133,BMT,CNR,Atlantic Av,BK,L,No,,,1,,,1,1,
134,BMT,CNR,Sutter Av,BK,L,No,1,3,,,,0,3,
71,BMT,SEA,8th Av,BK,N,No*,1,,,,,0,0,
24,BMT,BWY,Court St,BK,R,No ,,,1,,,1,1,
26,BMT,4AV,DeKalb Av,BK,B-Q-R,Yes,1,1,1,,,1,2,
33,BMT,4AV,45th St,BK,R,No ,1,1,,,,0,1,
212,IND,BXC,Kingsbridge Rd,BX,B-D,Yes,,,5,,,5,5,
213,IND,BXC,Fordham Rd,BX,B-D,No,1,2,,,,0,2,
214,IND,BXC,182nd-183rd Sts,BX,B-D,No,2,6,,,,0,6,
216,IND,BXC,174-175th Sts,BX,B-D,No,2,2,,,,0,2,
218,IND,BXC,167th St,BX,B-D,No,2,4,,,,0,4,
446,IRT,DYR,Morris Park,BX,5,No,,,1,,,1,1,
